colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
58,117,144.807,85,0,N,N,NA,NA,340.909,0.636364,20.6364,461.72727,196.90909,129.18182,17.09
58,126,189.679,57,0,N,N,N,N,238.727,0.727273,0.454545,609.63636,162.63636,56,62.91
58,142,177.226,85,0,N,N,N,NA,88.7273,1.45455,0,383.72727,169.45455,135.36364,6.909
58,144,175.505,14,0,N,NA,NA,NA,306.818,0,0,472.72727,73.363636,28.363636,13
58,148,184.859,99,0,N,C,C,C,56.1818,0,2.72727,306.45455,147.09091,80.272727,11.45
58,153,164.137,14,0,N,NA,NA,NA,355.818,0.272727,0,464.54545,82.818182,28.727273,10.18
58,169,129.294,57,0,N,N,C,NA,314.182,0,0,507.54545,130.81818,82.090909,12
58,174,164.344,40,0,N,N,N,N,349.818,2.45455,0.818182,470,55.363636,23,25.64
58,176,155.724,14,0,N,NA,NA,NA,135.545,0,0.454545,566.45455,185.45455,63.181818,9.182
58,191,144.627,50,0,N,N,N,N,565.273,0,2.81818,513,115.18182,32.727273,20.64
58,209,134.358,40,0,N,N,C,C,302.091,0.0909091,0.0909091,388.90909,166.63636,68.181818,4.273
58,212,178.55,40,0,N,N,NA,NA,177.818,0,1.36364,534.90909,151.81818,62.545455,18.73
58,218,161.276,57,0,N,C,F,F,553.727,0,19.0909,450.81818,279.63636,136.54545,2.909
58,220,149.883,14,0,N,NA,NA,NA,754.182,0,0.181818,432.90909,84.636364,31.363636,7.636
58,221,168.621,71,0,N,NA,NA,NA,232.182,0,0,493.36364,166,120.90909,1.727
58,226,151.98,106,0,N,N,N,N,321.545,0,14.4545,404.63636,88.454545,31.181818,23.09
58,232,155.621,14,0,N,NA,NA,NA,164.727,0,0,604.27273,160.36364,76.454545,12.73
58,242,147.167,57,0,N,N,F,F,575.273,0,3.54545,451.63636,129.36364,35.727273,31.82
58,243,156.32,40,0,N,N,C,C,210,0.727273,1.54545,419,186.72727,83.181818,4.182
